TicketID,AgentID,CustomerID,Status,ResolutionTime,Priority,Category,CreatedDate,ResolvedDate
T10038,A032,C9274,Resolved,1h 11m 45s,Low,Billing,2026-01-01 09:31:00,2026-01-01 10:09:00
T10039,A018,C8704,Open,1h 50m 29s,Medium,Account,2026-01-01 09:34:00,
T10040,A004,C5092,Open,0h 26m 20s,Low,Account,2026-01-01 09:29:00,
T10041,A031,C6112,Pending,0h 25m 20s,High,Account,2026-01-01 09:50:00,
T10042,A026,C8572,Open,0h 10m 29s,Low,Technical,2026-01-01 09:55:00,
T10043,A039,C6561,Open,1h 38m 29s,Medium,General,2026-01-01 09:16:00,
T10044,A023,C7560,Resolved,0h 49m 0s,Low,Technical,2026-01-01 09:18:00,2026-01-01 10:21:00
T10045,A021,C4878,Resolved,0h 26m 45s,High,General,2026-01-01 09:15:00,2026-01-01 10:27:00
T10046,A006,C6469,Open,1h 1m 29s,Medium,Account,2026-01-01 09:12:00,
T10047,A045,C3749,Resolved,1h 53m 20s,Low,Account,2026-01-01 09:28:00,2026-01-01 10:31:00
T10048,A035,C9504,Open,0h 55m 29s,Low,Technical,2026-01-01 09:38:00,
T10049,A022,C7220,Open,1h 36m 29s,High,Billing,2026-01-01 09:44:00,
T10050,A049,C7039,Open,1h 26m 20s,Medium,General,2026-01-01 09:49:00,
T10051,A032,C4376,Pending,1h 52m 30s,Low,General,2026-01-01 09:44:00,
T10052,A034,C1909,Resolved,1h 3m 45s,Medium,Technical,2026-01-01 09:34:00,2026-01-01 10:35:00
T10053,A013,C1758,Resolved,0h 11m 29s,Low,Technical,2026-01-01 09:32:00,2026-01-01 10:52:00
T10054,A013,C2560,Resolved,0h 45m 20s,Low,Billing,2026-01-01 09:25:00,2026-01-01 10:19:00
T10055,A012,C3896,Resolved,1h 44m 29s,Low,Billing,2026-01-01 09:32:00,2026-01-01 10:33:00
T10056,A050,C8202,Open,0h 39m 45s,Medium,Billing,2026-01-01 09:52:00,
T10057,A034,C9185,Open,0h 51m 29s,Low,Technical,2026-01-01 09:17:00,
T10058,A042,C5452,Resolved,1h 6m 0s,Medium,General,2026-01-01 09:29:00,2026-01-01 10:59:00
T10059,A028,C5798,Resolved,0h 29m 30s,Low,Technical,2026-01-01 09:58:00,2026-01-01 10:35:00
T10060,A009,C1104,Open,1h 32m 45s,Medium,Technical,2026-01-01 09:34:00,
T10061,A026,C9858,Open,0h 59m 20s,Medium,Billing,2026-01-01 09:59:00,
T10062,A021,C7599,Pending,0h 45m 30s,High,Technical,2026-01-01 09:08:00,
T10063,A001,C3123,Pending,0h 59m 30s,Low,Account,2026-01-01 09:49:00,
T10064,A050,C4962,Open,1h 37m 45s,High,Technical,2026-01-01 09:24:00,
T10065,A009,C8941,Open,0h 4m 0s,High,Account,2026-01-01 09:02:00,
T10066,A030,C5650,Pending,1h 33m 0s,Medium,General,2026-01-01 09:31:00,
T10067,A028,C1092,Resolved,1h 22m 30s,Medium,Billing,2026-01-01 09:18:00,2026-01-01 10:21:00
T10068,A019,C1599,Pending,1h 12m 20s,High,Account,2026-01-01 09:03:00,
T10069,A029,C3767,Pending,1h 2m 0s,Medium,Technical,2026-01-01 09:43:00,
T10070,A010,C3705,Resolved,0h 39m 45s,High,Technical,2026-01-01 09:44:00,2026-01-01 10:29:00
T10071,A036,C8443,Resolved,1h 53m 20s,Medium,Billing,2026-01-01 09:34:00,2026-01-01 10:44:00
T10072,A011,C8496,Resolved,1h 10m 45s,High,Technical,2026-01-01 09:51:00,2026-01-01 10:32:00
T10073,A028,C6449,Resolved,0h 33m 0s,Low,Technical,2026-01-01 09:41:00,2026-01-01 10:42:00
T10074,A010,C5984,Resolved,0h 21m 45s,Low,Technical,2026-01-01 09:10:00,2026-01-01 10:54:00
T10075,A049,C1306,Pending,1h 14m 20s,Medium,Billing,2026-01-01 09:40:00,
T10076,A014,C8627,Pending,0h 58m 45s,High,General,2026-01-01 09:29:00,
T10077,A008,C1791,Resolved,0h 23m 29s,Medium,Billing,2026-01-01 09:40:00,2026-01-01 10:50:00
T10078,A026,C1123,Resolved,0h 53m 20s,High,Billing,2026-01-01 09:46:00,2026-01-01 10:06:00
T10079,A042,C2932,Resolved,0h 38m 45s,Low,Billing,2026-01-01 09:09:00,2026-01-01 10:15:00
T10080,A043,C1988,Open,0h 49m 30s,Low,General,2026-01-01 09:33:00,
T10081,A008,C6929,Open,0h 15m 20s,High,Account,2026-01-01 09:02:00,
T10082,A035,C5467,Resolved,0h 20m 29s,High,Technical,2026-01-01 09:23:00,2026-01-01 10:02:00
T10083,A028,C7326,Resolved,0h 10m 20s,Low,Technical,2026-01-01 09:41:00,2026-01-01 10:47:00
T10084,A043,C7576,Open,0h 40m 29s,High,Account,2026-01-01 09:11:00,
T10085,A016,C8717,Open,1h 28m 20s,Low,Account,2026-01-01 09:23:00,
T10086,A039,C9638,Open,0h 40m 45s,Low,Billing,2026-01-01 09:25:00,
T10087,A034,C7653,Open,0h 22m 20s,High,Technical,2026-01-01 09:26:00,
T10088,A044,C5749,Pending,1h 52m 29s,High,General,2026-01-01 09:54:00,
T10089,A046,C3923,Pending,0h 27m 45s,High,General,2026-01-01 09:06:00,
T10090,A016,C1010,Open,1h 35m 20s,Low,Account,2026-01-01 09:32:00,
T10091,A023,C8997,Pending,0h 10m 20s,Low,Technical,2026-01-01 09:35:00,
T10092,A028,C4693,Resolved,1h 39m 29s,Medium,General,2026-01-01 09:05:00,2026-01-01 10:19:00
T10093,A048,C8193,Pending,0h 4m 45s,High,Technical,2026-01-01 09:27:00,
T10094,A047,C8364,Pending,0h 15m 29s,Low,Technical,2026-01-01 09:28:00,
T10095,A018,C3993,Resolved,0h 45m 0s,Low,Technical,2026-01-01 09:23:00,2026-01-01 10:34:00
T10096,A041,C1340,Pending,0h 38m 0s,Medium,Technical,2026-01-01 09:32:00,
T10097,A003,C8267,Resolved,1h 3m 45s,Medium,General,2026-01-01 09:17:00,2026-01-01 10:53:00
T10098,A042,C9041,Resolved,0h 10m 20s,Low,Account,2026-01-01 09:06:00,2026-01-01 10:48:00
T10099,A021,C1008,Resolved,1h 11m 30s,High,Technical,2026-01-01 09:18:00,2026-01-01 10:07:00
T10100,A005,C6130,Resolved,0h 43m 29s,Low,Account,2026-01-01 09:58:00,2026-01-01 10:00:00
T10101,A050,C6585,Open,1h 52m 29s,Medium,General,2026-01-01 09:25:00,
T10102,A006,C5494,Resolved,0h 58m 45s,Low,Billing,2026-01-01 09:44:00,2026-01-01 10:25:00
T10103,A014,C3015,Resolved,1h 1m 0s,High,General,2026-01-01 09:34:00,2026-01-01 10:36:00
T10104,A049,C3367,Resolved,0h 3m 29s,Low,Billing,2026-01-01 09:46:00,2026-01-01 10:14:00
T10105,A038,C6159,Resolved,0h 3m 0s,High,Technical,2026-01-01 09:58:00,2026-01-01 10:13:00
T10106,A023,C6721,Resolved,1h 32m 45s,Low,Technical,2026-01-01 09:35:00,2026-01-01 10:21:00
T10107,A039,C4558,Resolved,0h 54m 30s,Low,Billing,2026-01-01 09:51:00,2026-01-01 10:05:00
T10108,A023,C4288,Resolved,0h 1m 45s,Low,Account,2026-01-01 09:57:00,2026-01-01 10:29:00
T10109,A011,C6753,Resolved,1h 35m 30s,High,Billing,2026-01-01 09:21:00,2026-01-01 10:23:00
T10110,A013,C9031,Open,0h 39m 0s,High,Account,2026-01-01 09:48:00,
T10111,A005,C8056,Pending,1h 47m 30s,High,Technical,2026-01-01 09:45:00,
T10112,A016,C1361,Resolved,1h 42m 45s,Low,Technical,2026-01-01 09:37:00,2026-01-01 10:18:00
T10113,A004,C9559,Resolved,0h 4m 30s,High,Billing,2026-01-01 09:14:00,2026-01-01 10:10:00
T10114,A037,C1389,Open,1h 48m 45s,Low,Billing,2026-01-01 09:23:00,
T10115,A040,C3250,Resolved,1h 39m 0s,Medium,Billing,2026-01-01 09:53:00,2026-01-01 10:42:00
T10116,A007,C4211,Resolved,1h 41m 30s,Medium,Billing,2026-01-01 09:53:00,2026-01-01 10:50:00
T10117,A039,C1287,Resolved,0h 41m 30s,Low,Account,2026-01-01 09:35:00,2026-01-01 10:00:00
T10118,A037,C9149,Resolved,1h 0m 30s,Low,Technical,2026-01-01 09:22:00,2026-01-01 10:43:00
T10119,A038,C2615,Open,1h 56m 45s,High,General,2026-01-01 09:58:00,
T10120,A008,C2436,Pending,0h 57m 29s,Low,Technical,2026-01-01 09:47:00,
T10121,A046,C9886,Resolved,0h 38m 0s,High,Technical,2026-01-01 09:31:00,2026-01-01 10:38:00
T10122,A018,C1218,Pending,1h 28m 0s,Medium,Billing,2026-01-01 09:54:00,
T10123,A002,C1187,Resolved,0h 6m 0s,Low,Account,2026-01-01 09:19:00,2026-01-01 10:06:00
T10124,A047,C1438,Resolved,1h 41m 20s,Low,General,2026-01-01 09:32:00,2026-01-01 10:50:00
T10125,A008,C1088,Pending,1h 33m 29s,High,Technical,2026-01-01 09:21:00,
T10126,A013,C4105,Resolved,0h 57m 45s,Medium,Account,2026-01-01 09:58:00,2026-01-01 10:07:00
T10127,A050,C5973,Open,0h 47m 20s,Low,Billing,2026-01-01 09:54:00,
T10128,A039,C5836,Resolved,1h 36m 45s,Low,General,2026-01-01 09:51:00,2026-01-01 10:57:00
T10129,A012,C3245,Resolved,0h 22m 29s,Medium,Billing,2026-01-01 09:04:00,2026-01-01 10:30:00
T10130,A008,C5662,Pending,1h 15m 0s,Low,Account,2026-01-01 09:55:00,
T10131,A009,C6571,Open,1h 6m 0s,Low,Billing,2026-01-01 09:45:00,
T10132,A012,C8660,Resolved,0h 44m 0s,High,Billing,2026-01-01 09:05:00,2026-01-01 10:14:00
T10133,A029,C5917,Open,1h 58m 45s,High,General,2026-01-01 09:28:00,
T10134,A041,C1283,Resolved,0h 15m 29s,Low,Account,2026-01-01 09:56:00,2026-01-01 10:56:00
T10135,A035,C9200,Resolved,0h 38m 0s,Low,General,2026-01-01 09:32:00,2026-01-01 10:23:00
T10136,A032,C3075,Open,1h 9m 29s,High,General,2026-01-01 09:01:00,
T10137,A008,C4646,Pending,0h 39m 30s,High,Account,2026-01-01 09:45:00,
T10138,A024,C5778,Open,1h 55m 29s,High,Account,2026-01-01 09:36:00,
T10139,A029,C2308,Pending,0h 40m 20s,Low,Billing,2026-01-01 09:03:00,
T10140,A024,C2230,Pending,0h 37m 20s,High,Technical,2026-01-01 09:47:00,
T10141,A002,C5326,Open,1h 36m 45s,Low,Account,2026-01-01 09:59:00,
T10142,A018,C8902,Open,0h 48m 0s,High,Account,2026-01-01 09:45:00,
T10143,A020,C6330,Pending,0h 45m 0s,Low,Billing,2026-01-01 09:40:00,
T10144,A033,C2515,Open,0h 7m 45s,Medium,Billing,2026-01-01 09:33:00,
T10145,A018,C3921,Open,1h 58m 30s,Low,Account,2026-01-01 09:39:00,
T10146,A031,C7418,Open,0h 52m 45s,High,Account,2026-01-01 09:17:00,
T10147,A050,C7193,Pending,0h 16m 45s,High,General,2026-01-01 09:28:00,
T10148,A029,C5831,Resolved,1h 47m 0s,Low,Account,2026-01-01 09:58:00,2026-01-01 10:49:00
T10149,A049,C4819,Open,0h 37m 0s,Medium,Billing,2026-01-01 09:40:00,
T10150,A022,C1105,Resolved,1h 49m 20s,High,Technical,2026-01-01 09:56:00,2026-01-01 10:14:00
T10151,A028,C4515,Pending,0h 49m 29s,High,Technical,2026-01-01 09:21:00,
T10152,A027,C9190,Pending,0h 6m 29s,Low,Technical,2026-01-01 09:53:00,
T10153,A035,C2553,Pending,0h 8m 29s,High,Account,2026-01-01 09:34:00,
T10154,A043,C3388,Resolved,1h 28m 20s,High,General,2026-01-01 09:48:00,2026-01-01 10:04:00
T10155,A026,C1996,Pending,0h 37m 30s,Low,Billing,2026-01-01 09:59:00,
T10156,A047,C5775,Open,0h 46m 0s,Medium,Account,2026-01-01 09:28:00,
T10157,A014,C9978,Pending,1h 56m 29s,High,Technical,2026-01-01 09:01:00,
T10158,A010,C1454,Resolved,0h 59m 30s,Medium,Technical,2026-01-01 09:12:00,2026-01-01 10:09:00
T10159,A031,C9702,Pending,0h 54m 20s,Medium,Billing,2026-01-01 09:09:00,
T10160,A006,C3457,Resolved,1h 2m 0s,Low,General,2026-01-01 09:23:00,2026-01-01 10:41:00
T10161,A012,C7352,Resolved,0h 41m 30s,High,Technical,2026-01-01 09:58:00,2026-01-01 10:13:00
T10162,A034,C7812,Resolved,1h 36m 0s,Low,Billing,2026-01-01 09:48:00,2026-01-01 10:01:00
T10163,A050,C3580,Pending,0h 47m 30s,Medium,General,2026-01-01 09:52:00,
T10164,A010,C9905,Resolved,1h 14m 30s,Medium,Technical,2026-01-01 09:19:00,2026-01-01 10:03:00
T10165,A023,C6710,Resolved,1h 8m 0s,High,Technical,2026-01-01 09:07:00,2026-01-01 10:54:00
T10166,A007,C5418,Pending,0h 7m 45s,High,Account,2026-01-01 09:21:00,
T10167,A039,C1949,Open,0h 27m 30s,High,General,2026-01-01 09:14:00,
T10168,A024,C9748,Open,1h 12m 0s,High,Account,2026-01-01 09:49:00,
T10169,A005,C3064,Open,0h 50m 0s,Medium,Technical,2026-01-01 09:43:00,
T10170,A037,C3390,Resolved,0h 7m 0s,High,Account,2026-01-01 09:59:00,2026-01-01 10:43:00
T10171,A029,C5856,Open,0h 4m 20s,Low,Technical,2026-01-01 09:49:00,
T10172,A022,C3077,Resolved,1h 52m 0s,High,Technical,2026-01-01 09:47:00,2026-01-01 10:18:00
T10173,A020,C7024,Resolved,0h 3m 29s,Low,General,2026-01-01 09:05:00,2026-01-01 10:26:00
T10174,A014,C3341,Pending,0h 47m 0s,Medium,Technical,2026-01-01 09:58:00,
T10175,A002,C1724,Open,0h 47m 0s,High,General,2026-01-01 09:49:00,
T10176,A014,C6399,Resolved,0h 50m 30s,High,General,2026-01-01 09:37:00,2026-01-01 10:14:00
T10177,A034,C3357,Resolved,1h 22m 29s,Medium,Technical,2026-01-01 09:30:00,2026-01-01 10:19:00
T10178,A007,C8835,Resolved,0h 27m 0s,Medium,Technical,2026-01-01 09:59:00,2026-01-01 10:15:00
T10179,A043,C4316,Resolved,1h 13m 29s,Medium,General,2026-01-01 09:02:00,2026-01-01 10:39:00
T10180,A010,C4402,Resolved,0h 16m 0s,Low,Account,2026-01-01 09:44:00,2026-01-01 10:05:00
T10181,A035,C8994,Resolved,0h 20m 29s,High,Billing,2026-01-01 09:00:00,2026-01-01 10:30:00
T10182,A018,C9132,Pending,1h 16m 29s,High,Billing,2026-01-01 09:50:00,
T10183,A010,C5287,Resolved,0h 19m 0s,Low,General,2026-01-01 09:17:00,2026-01-01 10:28:00
T10184,A001,C5277,Pending,0h 9m 45s,High,Technical,2026-01-01 09:49:00,
T10185,A007,C4380,Pending,0h 31m 30s,Medium,Technical,2026-01-01 09:38:00,
T10186,A044,C4798,Resolved,0h 50m 29s,Medium,Technical,2026-01-01 09:10:00,2026-01-01 10:21:00
T10187,A044,C4104,Resolved,0h 8m 0s,Medium,General,2026-01-01 09:28:00,2026-01-01 10:17:00
T10188,A042,C4382,Pending,0h 53m 29s,Low,Technical,2026-01-01 09:40:00,
T10189,A044,C1052,Pending,0h 50m 29s,Medium,Billing,2026-01-01 09:46:00,
T10190,A020,C9041,Resolved,0h 47m 29s,High,Billing,2026-01-01 09:30:00,2026-01-01 10:23:00
T10191,A005,C3189,Open,1h 49m 20s,Medium,Technical,2026-01-01 09:03:00,
T10192,A012,C8664,Resolved,1h 19m 45s,High,Technical,2026-01-01 09:23:00,2026-01-01 10:32:00
T10193,A036,C3386,Open,0h 40m 30s,Medium,Account,2026-01-01 09:55:00,
T10194,A005,C1433,Pending,1h 18m 30s,Medium,Technical,2026-01-01 09:19:00,
T10195,A003,C7730,Resolved,1h 56m 30s,Medium,General,2026-01-01 09:16:00,2026-01-01 10:50:00
T10196,A050,C8959,Resolved,1h 11m 45s,High,General,2026-01-01 09:52:00,2026-01-01 10:14:00
T10197,A036,C2750,Resolved,1h 56m 30s,Low,General,2026-01-01 09:08:00,2026-01-01 10:22:00
T10198,A004,C5697,Open,1h 49m 0s,High,Technical,2026-01-01 09:36:00,
T10199,A045,C6009,Pending,0h 23m 45s,Medium,Billing,2026-01-01 09:05:00,
T10200,A019,C4243,Resolved,0h 4m 30s,High,General,2026-01-01 09:42:00,2026-01-01 10:45:00
T10201,A007,C3766,Resolved,1h 50m 45s,Medium,Account,2026-01-01 09:57:00,2026-01-01 10:41:00
T10202,A032,C8712,Open,1h 47m 0s,Medium,Billing,2026-01-01 09:33:00,
T10203,A009,C1521,Pending,1h 55m 0s,Low,Billing,2026-01-01 09:53:00,
T10204,A042,C5471,Pending,1h 50m 45s,High,Technical,2026-01-01 09:43:00,
T10205,A009,C9135,Resolved,1h 35m 45s,High,General,2026-01-01 09:23:00,2026-01-01 10:47:00
T10206,A003,C5452,Resolved,1h 54m 45s,High,General,2026-01-01 09:59:00,2026-01-01 10:58:00
T10207,A027,C2073,Resolved,1h 4m 20s,Low,Technical,2026-01-01 09:12:00,2026-01-01 10:44:00
T10208,A037,C2240,Resolved,1h 22m 29s,Medium,General,2026-01-01 09:38:00,2026-01-01 10:06:00
T10209,A044,C8263,Pending,1h 59m 30s,High,Technical,2026-01-01 09:12:00,
T10210,A032,C2209,Resolved,1h 53m 29s,High,Account,2026-01-01 09:40:00,2026-01-01 10:27:00
T10211,A044,C5684,Pending,0h 7m 30s,High,Billing,2026-01-01 09:55:00,
T10212,A044,C3922,Resolved,1h 26m 45s,Low,General,2026-01-01 09:25:00,2026-01-01 10:23:00
T10213,A010,C4374,Open,1h 16m 0s,Medium,General,2026-01-01 09:26:00,
T10214,A048,C4219,Pending,1h 3m 0s,Low,Account,2026-01-01 09:32:00,
T10215,A017,C3496,Resolved,0h 57m 29s,High,Technical,2026-01-01 09:49:00,2026-01-01 10:30:00
T10216,A011,C3104,Resolved,0h 39m 29s,Low,Account,2026-01-01 09:35:00,2026-01-01 10:13:00
T10217,A035,C5866,Resolved,1h 49m 30s,High,General,2026-01-01 09:21:00,2026-01-01 10:56:00
T10218,A043,C3825,Resolved,1h 24m 29s,Low,Account,2026-01-01 09:08:00,2026-01-01 10:34:00
T10219,A037,C5815,Pending,0h 17m 0s,Low,Account,2026-01-01 09:50:00,
T10220,A036,C2269,Resolved,0h 20m 20s,Medium,Billing,2026-01-01 09:52:00,2026-01-01 10:47:00
T10221,A020,C9249,Pending,0h 27m 0s,Low,Billing,2026-01-01 09:56:00,
T10222,A042,C4348,Pending,1h 11m 45s,High,Technical,2026-01-01 09:38:00,
T10223,A039,C4528,Resolved,1h 12m 30s,Low,Billing,2026-01-01 09:34:00,2026-01-01 10:51:00
T10224,A021,C4950,Open,1h 25m 45s,Low,General,2026-01-01 09:15:00,
T10225,A039,C6910,Pending,1h 30m 29s,Low,Technical,2026-01-01 09:07:00,
T10226,A014,C3501,Open,1h 49m 30s,Medium,Account,2026-01-01 09:29:00,
T10227,A001,C9235,Resolved,0h 10m 30s,Medium,General,2026-01-01 09:13:00,2026-01-01 10:00:00
T10228,A049,C6753,Pending,0h 10m 30s,Medium,Technical,2026-01-01 09:43:00,
T10229,A032,C8742,Resolved,1h 50m 30s,High,General,2026-01-01 09:46:00,2026-01-01 10:12:00
T10230,A043,C3290,Pending,0h 29m 45s,Low,Technical,2026-01-01 09:39:00,
T10231,A013,C6669,Pending,0h 4m 20s,Low,Technical,2026-01-01 09:23:00,
T10232,A013,C3392,Pending,1h 2m 0s,High,Account,2026-01-01 09:38:00,
T10233,A016,C8241,Resolved,1h 30m 45s,Low,Account,2026-01-01 09:10:00,2026-01-01 10:21:00
T10234,A025,C7700,Open,0h 30m 29s,Low,Billing,2026-01-01 09:02:00,
T10235,A018,C6943,Resolved,1h 5m 0s,Medium,Account,2026-01-01 09:35:00,2026-01-01 10:49:00
T10236,A019,C8737,Open,0h 4m 45s,Low,Billing,2026-01-01 09:03:00,
T10237,A025,C2442,Open,0h 35m 0s,Medium,Account,2026-01-01 09:12:00,
T10238,A019,C1051,Resolved,0h 17m 29s,High,Technical,2026-01-01 09:22:00,2026-01-01 10:54:00
T10239,A025,C7521,Open,0h 32m 30s,High,Technical,2026-01-01 09:22:00,
T10240,A029,C3749,Resolved,1h 40m 20s,Low,Technical,2026-01-01 09:06:00,2026-01-01 10:19:00
T10241,A028,C8494,Pending,1h 46m 30s,High,General,2026-01-01 09:36:00,
T10242,A036,C2440,Resolved,0h 51m 29s,High,General,2026-01-01 09:32:00,2026-01-01 10:32:00
T10243,A031,C7420,Resolved,1h 11m 30s,Medium,Technical,2026-01-01 09:32:00,2026-01-01 10:21:00
T10244,A043,C4482,Pending,1h 10m 29s,Low,General,2026-01-01 09:28:00,
T10245,A017,C3603,Resolved,0h 22m 0s,Low,General,2026-01-01 09:00:00,2026-01-01 10:44:00
T10246,A047,C8566,Pending,0h 39m 30s,Medium,Account,2026-01-01 09:14:00,
T10247,A042,C9605,Pending,0h 3m 29s,Medium,General,2026-01-01 09:30:00,
T10248,A023,C9749,Open,0h 7m 29s,Low,General,2026-01-01 09:44:00,
T10249,A033,C7882,Resolved,0h 6m 30s,High,Account,2026-01-01 09:36:00,2026-01-01 10:01:00
T10250,A001,C1323,Resolved,1h 17m 45s,Medium,General,2026-01-01 09:30:00,2026-01-01 10:54:00
T10251,A040,C3077,Resolved,1h 30m 20s,Medium,Billing,2026-01-01 09:22:00,2026-01-01 10:34:00
T10252,A007,C4791,Open,0h 46m 45s,Medium,General,2026-01-01 09:22:00,
T10253,A032,C2835,Resolved,0h 55m 29s,Low,General,2026-01-01 09:36:00,2026-01-01 10:51:00
T10254,A013,C9113,Pending,0h 33m 30s,Medium,Technical,2026-01-01 09:55:00,
T10255,A046,C9078,Resolved,1h 36m 0s,High,Billing,2026-01-01 09:42:00,2026-01-01 10:55:00
T10256,A009,C1542,Resolved,0h 23m 20s,Medium,General,2026-01-01 09:15:00,2026-01-01 10:40:00
T10257,A019,C3674,Pending,0h 27m 29s,High,Account,2026-01-01 09:12:00,
T10258,A010,C2226,Pending,0h 6m 20s,Medium,Account,2026-01-01 09:32:00,
T10259,A045,C3609,Open,0h 10m 20s,Medium,Account,2026-01-01 09:13:00,
T10260,A030,C3978,Resolved,1h 0m 30s,High,Billing,2026-01-01 09:33:00,2026-01-01 10:37:00
T10261,A031,C7660,Open,1h 23m 0s,High,Billing,2026-01-01 09:55:00,
T10262,A022,C1641,Resolved,0h 48m 20s,Medium,Technical,2026-01-01 09:05:00,2026-01-01 10:34:00
T10263,A032,C6386,Resolved,1h 55m 20s,Low,Technical,2026-01-01 09:09:00,2026-01-01 10:15:00
T10264,A036,C3389,Open,0h 25m 20s,Medium,Technical,2026-01-01 09:28:00,
T10265,A018,C7763,Pending,1h 31m 45s,Medium,Technical,2026-01-01 09:21:00,
T10266,A033,C4609,Open,0h 28m 30s,High,Technical,2026-01-01 09:28:00,
T10267,A035,C1311,Resolved,0h 27m 30s,Low,Technical,2026-01-01 09:52:00,2026-01-01 10:47:00
T10268,A025,C1520,Resolved,0h 2m 30s,High,General,2026-01-01 09:51:00,2026-01-01 10:06:00
T10269,A033,C6723,Open,0h 6m 30s,Low,Billing,2026-01-01 09:28:00,
T10270,A013,C4657,Open,0h 54m 20s,Low,Billing,2026-01-01 09:49:00,
T10271,A011,C5958,Resolved,0h 38m 0s,High,Billing,2026-01-01 09:28:00,2026-01-01 10:20:00
T10272,A028,C9406,Pending,1h 41m 20s,High,Technical,2026-01-01 09:14:00,
T10273,A041,C2020,Open,0h 12m 0s,Medium,General,2026-01-01 09:19:00,
T10274,A025,C7862,Pending,1h 13m 20s,Low,Technical,2026-01-01 09:37:00,
T10275,A027,C1769,Pending,0h 59m 20s,High,Technical,2026-01-01 09:25:00,
T10276,A047,C3229,Resolved,1h 53m 0s,Medium,Technical,2026-01-01 09:34:00,2026-01-01 10:21:00
T10277,A039,C6032,Open,0h 24m 0s,Low,Technical,2026-01-01 09:32:00,
